0.7268593 0.7579063 1.78 0.84
0.7290396 0.7598528 0.92 0.85
0.7516884 0.7292798 1.14 0.84
0.7536405 0.7313923 0.94 0.89
0.7544689 0.7325585 1.86 1
0.7563563 0.7345947 2.28 0.89
0.7571638 0.727568 0.84 0.94
0.7574556 0.774958 1.5 0.96
0.7592761 0.7002637 0.99 0.93
0.7610439 0.7022413 1.24 0.93
0.7618307 0.7791046 1.39 0.97
0.7543472 0.7184737 2 1
0.7546301 0.7103769 1.72 1
0.7264372 0.7070752 1.84 1.01
0.727287 0.7033555 1.8 1.04
0.7276884 0.7074833 1.59 1.05
0.7285279 0.7078507 1.4 1.06
0.7293534 0.7065599 2 1.13
0.735004 0.7226302 1.26 1.17
0.6929475 0.7202237 1.81 1.14
0.7364629 0.7204426 1.5 1.15
0.7001769 0.7013599 1.22 1.16
0.6608237 0.7032668 1.8 1.18
0.6630502 0.7051245 1.45 1.14
0.664263 0.7038929 1.42 1.16
0.6637637 0.6885797 1.24 1.21
0.6370334 0.6904794 2.31 1.19
0.6366794 0.690986 1.69 1.23
0.6395358 0.6928331 2.18 1.28
0.6382477 0.6856694 1.09 1.24
0.6370086 0.6899223 1.75 1.28
0.6398095 0.6917391 1.22 1.32
0.6394291 0.6959728 1.85 1.29
0.6390669 0.6974443 1.37 1.35
0.6417998 0.6926466 1.72 1.35
0.6414598 0.6931408 2.06 1.36
0.6402133 0.7578806 1.84 1.42
0.6398645 0.7585337 1.25 1.41
